iteration,n_fmke_pop_process,dataset,concurrent_clients,n_fmke_client_per_site,n_fmke_app_per_site,n_riakkv_per_site,duration,ops
6,1,medium,0,0,8,12,45,252.0
1,1,medium,0,0,1,8,45,252.0
2,1,medium,0,0,1,1,34,333.0
7,1,medium,0,0,1,12,36,315.0
5,1,medium,0,0,1,8,47,241.0
4,1,medium,0,0,4,8,47,241.0
5,1,medium,0,0,8,12,46,246.0
6,1,medium,0,0,1,8,46,246.0
7,1,medium,0,0,8,8,47,241.0
3,1,medium,0,0,1,4,42,270.0
2,1,medium,0,0,4,12,34,333.0
1,1,medium,0,0,1,4,41,276.0
4,1,medium,0,0,1,12,34,333.0
3,1,medium,0,0,12,12,46,246.0
5,1,medium,0,0,12,4,40,283.0
2,1,medium,0,0,8,4,42,270.0
4,1,medium,0,0,1,8,46,246.0
4,1,medium,0,0,4,4,41,276.0
4,1,medium,0,0,1,4,40,283.0
5,1,medium,0,0,1,12,48,236.0
7,1,medium,0,0,12,12,49,231.0
2,1,medium,0,0,12,1,34,333.0
2,1,medium,0,0,8,8,48,236.0
2,1,medium,0,0,1,4,41,276.0
1,1,medium,0,0,8,8,46,246.0
3,1,medium,0,0,12,8,47,241.0
6,1,medium,0,0,12,8,46,246.0
6,1,medium,0,0,4,12,45,252.0
2,1,medium,0,0,12,8,45,252.0
2,1,medium,0,0,8,12,46,246.0
3,1,medium,0,0,1,1,36,315.0
3,1,medium,0,0,4,12,47,241.0
2,1,medium,0,0,1,12,45,252.0
1,1,medium,0,0,4,1,36,315.0
7,1,medium,0,0,4,12,44,257.0
3,1,medium,0,0,12,4,43,263.0
5,1,medium,0,0,4,12,47,241.0
1,1,medium,0,0,8,4,40,283.0
3,1,medium,0,0,4,4,42,270.0
5,1,medium,0,0,8,1,36,315.0
5,1,medium,0,0,4,4,42,270.0
4,1,medium,0,0,8,4,42,270.0
2,1,medium,0,0,12,12,46,246.0
4,1,medium,0,0,12,12,48,236.0
3,1,medium,0,0,8,12,50,227.0
6,1,medium,0,0,4,8,46,246.0
6,1,medium,0,0,12,12,46,246.0
3,1,medium,0,0,8,8,46,246.0
3,1,medium,0,0,12,1,36,315.0
4,1,medium,0,0,4,1,34,333.0
4,1,medium,0,0,8,1,36,315.0
1,1,medium,0,0,1,1,34,333.0
2,1,medium,0,0,4,4,40,283.0
5,1,medium,0,0,4,8,46,246.0
1,1,medium,0,0,8,1,36,315.0
3,1,medium,0,0,1,8,46,246.0
4,1,medium,0,0,1,1,35,324.0
5,1,medium,0,0,8,8,47,241.0
5,1,medium,0,0,1,4,42,270.0
1,1,medium,0,0,8,12,46,246.0
5,1,medium,0,0,12,8,46,246.0
7,1,medium,0,0,4,8,47,241.0
3,1,medium,0,0,1,12,46,246.0
3,1,medium,0,0,8,4,41,276.0
5,1,medium,0,0,12,12,49,231.0
3,1,medium,0,0,8,1,34,333.0
4,1,medium,0,0,8,8,46,246.0
1,1,medium,0,0,12,12,51,222.0
1,1,medium,0,0,4,8,46,246.0
1,1,medium,0,0,12,4,42,270.0
3,1,medium,0,0,4,1,35,324.0
2,1,medium,0,0,8,1,36,315.0
2,1,medium,0,0,4,8,48,236.0
5,1,medium,0,0,12,1,35,324.0
1,1,medium,0,0,12,8,45,252.0
5,1,medium,0,0,4,1,34,333.0
6,1,medium,0,0,1,12,48,236.0
4,1,medium,0,0,12,4,39,291.0
7,1,medium,0,0,12,8,46,246.0
4,1,medium,0,0,12,1,35,324.0
4,1,medium,0,0,8,12,47,241.0
1,1,medium,0,0,1,12,51,222.0
1,1,medium,0,0,4,12,46,246.0
1,1,medium,0,0,4,4,42,270.0
4,1,medium,0,0,4,12,33,343.0
7,1,medium,0,0,1,8,45,252.0
6,1,medium,0,0,8,8,46,246.0
2,1,medium,0,0,4,1,36,315.0
7,1,medium,0,0,8,12,34,333.0
5,1,medium,0,0,8,4,42,270.0
3,1,medium,0,0,4,8,41,276.0
2,1,medium,0,0,1,8,48,236.0
4,1,medium,0,0,12,8,48,236.0
2,1,medium,0,0,12,4,42,270.0
1,1,medium,0,0,12,1,34,333.0
